Job Title,Job Post Url,Company Name,Location,Job ID
Data Analyst,https://www.linkedin.com/jobs/view/4014774480/?eBP=CwEAAAGSAUPA_Ht83g-2ersK3FgnzA5FXeZGyYw9V0RSdPJlNX_uE0oW9w7j_Z4sQEffPAHj93ucEQ7OBuMwR4yqjS8VUJJZO5datUJsOAeJ6OXuylkQyPTQAOzW_riTRztQD1WwG9dxdiBK1jhAewqZw5_xAcelFS7f6En-KUqif-itUxjNIzsi7VYx44SW3-wqD_1oP7f6gixKIYL0K60aaaEAZmBbsjQw80Pe7ShJRs3gkFX2t848m0DJbpSdSwKU-2weXM97OrvEpewZH9xEHC77uxky8t1HQJC5VuqitzXpztb8inwyFaUDIErzID41KUK1Lo0Vvww87yBGR5lGOpkxqg-uP3NCcxk77nNr9CAx02UtWYWvLn30y6jRQOuX1FJxzBV6x7UXSKUmsBQ95IiDWUK60HcvsAob8p3WfQLYQwq8dO6OK6kVeEga65gbvuR9xMknDr1KRniIEukayDnlcqrterbIefamNFEuF6-g_KuN&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=Y8BufjSnrgN4B8H7jtadZQ%3D%3D&trk=flagship3_search_srp_jobs,Muthoot Fincorp Ltd.,"Trivandrum, Kerala, India (On-site)",4014774480
Data Scientist/Analyst-Remote,https://www.linkedin.com/jobs/view/4022371141/?eBP=CwEAAAGSAUPA_boJwmudkxUqqOLTQN_ezOSmIxm9gpaBkSaMyUtxmG3th8jFeXMfw_DWTLAKOc4ihvYOraI7CpK4XBuh30AsL6DYhiiRJtb7GiWDIE2m5-CCp1aEeN6f7J0JpmO7RSXn-8XbM_LImbXKSAQovb7SrsYxpJnaDlFztaP4y2fa7CWE9kFxjGQrh2D9wyd2BxmlvE1LjoKXBVE__n7SJdbelbNQx_PhkuK0ZKKxP3ROHwQ4oDhtVe5CP41nmsu58ND_AeSQmqD8r2Ph-CFGsCjuhS0lv4Mfl4e-RmdgjL_2EvBtNBeyoUY8RPLhO5QiUd-jfR76fvRbPZuI4X4t2vMtMf8gnF17fBRAaydO01JEIxVRySAu4yFAMeryVgVsBnDG3Aii5CqYj6kR2Hqm9dXqoWy-62H6BecpqtWgNjcxNUczGuYgZe9vLBy8G2xeqQn3vGx6xE8ORacU&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=MoU3mcvy2PcCoICCuNe5Lg%3D%3D&trk=flagship3_search_srp_jobs,YO HR Consultancy,"Kochi, Kerala, India (Hybrid)",4022371141
Data Analyst,https://www.linkedin.com/jobs/view/3999074392/?eBP=BUDGET_EXHAUSTED_JOB&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=cOSiZYFCFG2uSB3WknhQpQ%3D%3D&trk=flagship3_search_srp_jobs,Future Solution Centre,"Kerala, India",3999074392
Data and Reporting Senior Analyst,https://www.linkedin.com/jobs/view/4025328917/?eBP=BUDGET_EXHAUSTED_JOB&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=oqumveVIFty2n11XQJQluQ%3D%3D&trk=flagship3_search_srp_jobs,EY,"Kanayannur, Kerala, India (On-site)",4025328917
Jr. Data Analyst,https://www.linkedin.com/jobs/view/4008256835/?eBP=BUDGET_EXHAUSTED_JOB&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=Aiuq2r0LzqZb44N%2FY%2Fezew%3D%3D&trk=flagship3_search_srp_jobs,Capco,India (Remote),4008256835
Senior HR Data Analyst,https://www.linkedin.com/jobs/view/3988889766/?eBP=BUDGET_EXHAUSTED_JOB&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=LoLB3Xkeo2zTiU2H%2B%2Bzeqw%3D%3D&trk=flagship3_search_srp_jobs,NVIDIA,India (Remote),3988889766
Data Analyst,https://www.linkedin.com/jobs/view/4026134425/?eBP=CwEAAAGSAUPA_Zd_cC_NcPae6TNz6pavhokyxEUf95onkt0XKFKZSGb3__HJ-Pg3-ms4FyxH1WMz95qYCJ_gcuqLo0qBf5JC39fbSQxI347LFeSM8-Cz7djG_JWrg-dTDAsd2Dqph8KRaF5v9ZJ7Dndxdb6V95mYmR3AqbNSeqmg9m2MvFF7eCHXQ8wqDCaHw3U6gU7VjqMm_h4XG7g0ZsJfHuKsKf2vmKzWCwnXuI7Q289Bb72Q3OTGW0_k0pjG_2zJu3YRnitfdxVRLffivKRV_IE5oBYaLlUuZ7Rpkpxd_bfTsqtpk4ZNBNEaPr2PDVh_BrtfLcrhFeEBA4IavYf-eoUaH-T17lbSk9fujxab9hmItd8r9NfWPi7YGm6modFRubRqaDhjVde8dpY_3BTfmbW4CKvDhbVl6fubmBCpixl8xaC-g_tUKbIMBGSkj6sBhSCzLilwfe2lH6R7DlZ3YC_wYSPunn8VXdsBDsiNnC4eBJXf&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=sYlVI%2Fd%2BbblaIDKzKDnwiA%3D%3D&trk=flagship3_search_srp_jobs,Soul AI,India (Remote),4026134425
Senior Data Analyst,https://www.linkedin.com/jobs/view/4014513045/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=OQzKCx%2BD6WALMowzhGCXhQ%3D%3D&trk=flagship3_search_srp_jobs,Masan Group,APAC (Remote),4014513045
EY - GDS Consulting - AI and DATA - Data Modeller- Senior,https://www.linkedin.com/jobs/view/4024809672/?eBP=CwEAAAGSAUPA_UeQYwbclmdr4j9RMcZshCDpm7Te5zttnvt5FEm2JM4KJd-e9D4dOhUzUqnsQsUT6-7SptOA5ad4GaCNV8IGWBiMvNRSiboc65BUJla4JqxgfUK8-NM6YW3k7M33FuZWPwj4ig5ukKkRj1MdBmDr3M7ELRAT7nxA1GxiLLie7GIpjAEkZMQbVqzD-jB9km9RwYr-L5gFVKXYuupiY0YcS3anhY8QOfuetZbqXpvcHM2dsPAGYizI5_X9yI0X5dQkmatrOcioZuWW_NyGx0oGHFflabSnZ5reoF5Hy9bJWLIslUsPcCoiPNG87PAbazcHpFO_i2671oo3P-RDSUrfphNyezbtLnX8r4p1zKXVRrjF91p-vhohcnMI_-6bNTIt3I6tMFjGVJuURnNSCRBJgqmXs77LbF8pXYMxVIhChT1ZjAEMn2lnqhEE&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=tWIUj3eaKry5cMskYgyU2A%3D%3D&trk=flagship3_search_srp_jobs,EY,"Kanayannur, Kerala, India (On-site)",4024809672
Senior Data Analyst- Business Intelligence(Remote),https://www.linkedin.com/jobs/view/4011974799/?eBP=CwEAAAGSAUPA_Zi1N4CrByVaTfZdrsdIHl6EDabl4zfK3GXIsC79RjPru_KPqzEpWQgWjTwHagIgKLt4OFxfV9TA_LkpsXYt7fR4tsD6XzC1UbwmDVjO39ofULLGJZWmwWEWZslsntYoxwd_Z2RBuvFspxfzbV3VVoHsZghbB5hmVQzKovZuQQeL_zZrGzDY_HyfZ2J2lMQZaKghXrTtR3cpWR05GmpyoR1DCaS483ATkPIj2NKl_26Em-bgAYIFHLX9QvspttxU6f-VR6VNYXqegs0h8j8yh9I8Xf5psenQEvaIIT-hXmtvL7h5ViN8Xa918ydG6VocpOahAOzQxL1bBDD3PaOFQ7eqv5ORuEjLoV1xtnlerPZth11ViM5fG3lNsPIDOzm59KSGpErGMKPZKLv6sMZHGGWb3XqM1ttQnMLjRPVj0DYSO18wlB8OlWQG&refId=GvivukcFELkxuptoWP9fsg%3D%3D&trackingId=c%2B0cIyjDF6eu%2Bgu8EiWjLA%3D%3D&trk=flagship3_search_srp_jobs,Uplers,"Kochi, Kerala, India (Remote)",4011974799
